Transaction_ID,Customer_Name,Customer_Email,Date,Amount,Product,Reason_Code,Evidence_Receipt,Evidence_Shipping,Evidence_Email,Evidence_Photo,Current_Process,Notes
b6296533-b87c-4968-90bd-ed486671ae43,Stephanie Lee,torrescrystal@weaver-fischer.com,2025-11-19,156.21,Coffee Maker,Fraud / Unauthorized Transaction,https://dummy-evidence.com/receipt/5fd7f2e0-1045-4bd7-b406-218c59537e74.pdf,https://dummy-evidence.com/shipping/f93717c8-676f-4c96-b5b3-b757149d49c0.pdf,https://dummy-evidence.com/email/3c31c0c9-79b3-40a7-81ef-28e1c09521f6.pdf,https://dummy-evidence.com/photo/92f3d73b-02e7-4524-acdc-54feb5061f41.jpg,Manual selection of receipts only,Agency TV opportunity race authority pressure.
c0979c4b-ec2b-4bd7-84b1-7b0ba040cfbc,Natalie Taylor,parkerashley@yahoo.com,2025-11-17,211.48,Board Game,Duplicate Charge,https://dummy-evidence.com/receipt/da869462-461a-46e0-b8a9-2c7fa5b269ae.pdf,https://dummy-evidence.com/shipping/b1938009-a6dc-4b70-b6aa-26214abae6c6.pdf,https://dummy-evidence.com/email/2350adeb-c717-47a4-bd26-641b9d23db8a.pdf,https://dummy-evidence.com/photo/c910f0a1-e96b-4b65-bf89-e4ee1f13a277.jpg,Submit all evidence without selection,Never perhaps bring establish approach spring.
de6ccee7-4882-40a5-bde7-aa43585a33ef,James Baker,annacevedo@hotmail.com,2025-09-02,963.97,Running Shoes,Credit Not Processed,https://dummy-evidence.com/receipt/62b4fd6d-252b-46d6-9666-11d1d2948c6e.pdf,https://dummy-evidence.com/shipping/36fcac06-fa6d-4818-9dc9-c3ff76884807.pdf,https://dummy-evidence.com/email/d8347354-1501-427c-9e0e-9b3ae6b2908a.pdf,https://dummy-evidence.com/photo/fb73648d-04c2-4982-9182-ff5e19f16aa7.jpg,Manual selection of receipts only,Particular dinner raise control remember course possible everybody painting fill church.
139c0087-9d8d-4903-b83b-1611037ab482,Lindsay Cook PhD,richardoneal@yahoo.com,2025-10-31,382.77,Smartphone,Product Not as Described,https://dummy-evidence.com/receipt/5005ae89-3c94-4ce5-aca0-efc541ae3751.pdf,https://dummy-evidence.com/shipping/becc728c-917d-4ac3-b8c9-8a2b09bbde0b.pdf,https://dummy-evidence.com/email/2965d6ec-cd89-4142-bdc1-54248f28e7dc.pdf,https://dummy-evidence.com/photo/4e204a95-e3f8-4ff5-80aa-9872ae324563.jpg,Manual selection of receipts only,Admit note natural many democratic guy mother group yeah perhaps.
581274ac-9f21-429a-9eee-43517aa401e8,Vanessa Wright,eric02@allen-ball.com,2025-08-01,570.59,Board Game,Canceled Subscription,https://dummy-evidence.com/receipt/95e5dce8-fb4d-4e95-8d16-65d827be8e9b.pdf,https://dummy-evidence.com/shipping/f9464519-3efa-4808-90d7-58d0800e336b.pdf,https://dummy-evidence.com/email/1ea60c84-e287-4605-9459-3668d8dcd2d2.pdf,https://dummy-evidence.com/photo/571b295f-9e4f-4dd2-885b-cc6aced315ad.jpg,Manual selection of receipts only,Detail a real nearly treat allow.
9ce703ec-0a63-43cc-a604-4b42efeeb5e7,Jason Mays,qduke@cox.com,2025-10-20,572.57,Board Game,Fraud / Unauthorized Transaction,https://dummy-evidence.com/receipt/6e64c090-b313-4d04-8bae-89019f3f0e30.pdf,https://dummy-evidence.com/shipping/c5bed1fe-983f-4bdd-af3e-5a6654b397e2.pdf,https://dummy-evidence.com/email/62658bd4-efe6-48aa-a3cc-2be20cbc007b.pdf,https://dummy-evidence.com/photo/33149534-4e21-404a-a55c-191745ccd365.jpg,Manual selection of receipts only,Member attorney loss time cup per cost place financial case wrong.
b855db23-08c9-4b3f-a5b9-fa840820ad89,Sabrina Owens,kayla85@white.info,2025-10-13,863.01,Wireless Headphones,Product Not Received,https://dummy-evidence.com/receipt/c4684da4-a8bf-4912-b456-c31315168042.pdf,https://dummy-evidence.com/shipping/812711c6-64a1-422f-9169-5ca6da44ccc8.pdf,https://dummy-evidence.com/email/e5ddccaf-e7a4-479e-9069-55539a5614ac.pdf,https://dummy-evidence.com/photo/a37ef8f9-9ca4-4749-b8e0-729912985ea9.jpg,Manual selection of receipts only,Sport medical sign decide minute measure want child heavy.
161079f7-aa92-4a2e-a1fe-031c678a7413,Daniel Thomas,chad49@white-pierce.com,2025-08-26,958.44,Smartphone,Product Not Received,https://dummy-evidence.com/receipt/7ca72fb7-e5c0-4547-b58a-97e85f0b75e2.pdf,https://dummy-evidence.com/shipping/829fe8b0-5acd-4668-a2ab-2126e2e38148.pdf,https://dummy-evidence.com/email/6df80281-d3f3-49ad-a29d-0b1e4c54cf71.pdf,https://dummy-evidence.com/photo/256d237e-ea1c-45e5-b238-8e6dad4a8872.jpg,Submit minimal evidence to save time,Box arm generation tough leave break none begin bill base news safe above.
666739b3-705d-42f6-bfb1-4921e0a36799,Christine Short,cmorales@gmail.com,2025-10-19,292.29,Backpack,Duplicate Charge,https://dummy-evidence.com/receipt/ce30dc12-38cc-49e7-8136-bfa9fef6f378.pdf,https://dummy-evidence.com/shipping/62616278-afbd-401b-8d89-a59dae4c9c42.pdf,https://dummy-evidence.com/email/1fe6370a-83a6-469f-b3bb-ceba9291cea1.pdf,https://dummy-evidence.com/photo/ade8b01b-74d8-4ebc-a55b-2bfecfbbab25.jpg,Submit all evidence without selection,Phone yes suddenly entire protect me since former light.
7a4e5849-528e-4780-8387-192004ac49e1,Michael Lee DDS,wayne08@yahoo.com,2025-12-21,253.63,Running Shoes,Product Not Received,https://dummy-evidence.com/receipt/c7e8e9aa-a331-406d-8b35-98f0d12f24a5.pdf,https://dummy-evidence.com/shipping/b63e8ba0-f6ea-407b-aba9-0156f9014d89.pdf,https://dummy-evidence.com/email/cf7b4e59-9a3f-4c61-b8e3-6b8614b97c2c.pdf,https://dummy-evidence.com/photo/f3b814e6-e4a6-473c-be24-457857957b7f.jpg,Submit minimal evidence to save time,Me herself pull theory condition long realize best capital return such he deep.
